iter	Passed	Remaining
784	5671	1553
785	5677	1545
786	5683	1538
787	5690	1530
788	5699	1524
789	5706	1516
790	5713	1509
791	5718	1501
792	5725	1494
793	5731	1487
794	5738	1479
795	5744	1472
796	5750	1464
797	5757	1457
798	5763	1449
799	5769	1442
800	5775	1434
801	5781	1427
802	5789	1420
803	5795	1412
804	5801	1405
805	5807	1397
806	5813	1390
807	5819	1382
808	5825	1375
809	5832	1368
810	5839	1360
811	5846	1353
812	5852	1346
813	5858	1338
814	5864	1331
815	5870	1323
816	5876	1316
817	5883	1309
818	5890	1301
819	5896	1294
820	5902	1286
821	5908	1279
822	5914	1272
823	5920	1264
824	5925	1257
825	5931	1249
826	5938	1242
827	5944	1234
828	5950	1227
829	5957	1220
830	5963	1212
831	5969	1205
832	5976	1198
833	5983	1190
834	5989	1183
835	5996	1176
836	6002	1169
837	6008	1161
838	6014	1154
839	6021	1146
840	6026	1139
841	6033	1132
842	6038	1124
843	6044	1117
844	6051	1110
845	6057	1102
846	6064	1095
847	6070	1088
848	6076	1080
849	6082	1073
850	6090	1066
851	6095	1058
852	6101	1051
853	6107	1044
854	6113	1036
855	6119	1029
856	6126	1022
857	6132	1014
858	6138	1007
859	6144	1000
860	6150	992
861	6156	985
862	6162	978
863	6169	971
864	6176	963
865	6183	956
866	6189	949
867	6195	942
868	6201	934
869	6207	927
870	6214	920
871	6220	913
872	6226	905
873	6233	898
874	6238	891
875	6245	884
876	6251	876
877	6256	869
878	6264	862
879	6270	855
880	6276	847
881	6283	840
882	6290	833
883	6296	826
884	6301	818
885	6308	811
886	6315	804
887	6321	797
888	6327	790
889	6333	782
890	6340	775
891	6346	768
892	6352	761
893	6358	753
894	6364	746
895	6370	739
896	6375	732
897	6382	724
898	6388	717
899	6394	710
900	6400	703
901	6406	696
902	6414	689
903	6420	681
904	6428	674
905	6433	667
906	6441	660
907	6447	653
908	6453	646
909	6459	638
910	6466	631
911	6473	624
912	6479	617
913	6486	610
914	6492	603
915	6499	596
916	6505	588
917	6511	581
918	6518	574
919	6525	567
920	6532	560
921	6538	553
922	6545	546
923	6551	538
924	6558	531
925	6565	524
926	6571	517
927	6577	510
928	6584	503
929	6590	496
930	6596	488
931	6602	481
932	6611	474
933	6617	467
934	6623	460
935	6629	453
936	6636	446
937	6642	439
938	6649	431
939	6655	424
940	6661	417
941	6671	410
942	6677	403
943	6684	396
944	6692	389
945	6698	382
946	6704	375
947	6712	368
948	6719	361
949	6725	353
950	6733	346
951	6739	339
952	6746	332
953	6751	325
954	6758	318
955	6765	311
956	6772	304
957	6779	297
958	6786	290
959	6792	283
960	6799	275
961	6804	268
962	6811	261
963	6817	254
964	6824	247
965	6830	240
966	6836	233
967	6841	226
968	6847	219
969	6854	212
970	6860	204
971	6867	197
972	6873	190
973	6879	183
974	6885	176
975	6892	169
976	6898	162
977	6904	155
978	6910	148
979	6917	141
980	6923	134
981	6930	127
982	6935	119
983	6943	112
984	6949	105
985	6956	98
986	6963	91
987	6969	84
988	6975	77
989	6983	70
990	6990	63
991	6998	56
992	7004	49
993	7011	42
994	7017	35
995	7023	28
996	7030	21
997	7036	14
998	7044	7
999	7049	0
